DOI,Authors,Checked By,Constraints / Assumptions,Description of layout algorithm,Domain,Evaluation,Exclude?,Keep,Layout Method fully described in paper,Method Type,Optimization Objectives,Source,Special features,Temporal Model,Title,URL,Venue,Visual/Structural features supported,Year
10.1145/3580786,"Murnane, Elizabeth L., Glazko, Yekaterina S., Costa, Jean, Yao, Raymond, Zhao, Grace, Moya, Paula M. L., Landay, James A.",Henry,,,,,No,No,No,,,ACM,,,Narrative-Based Visual Feedback to Encourage Sustained Physical Activity: A Field Trial of the WhoIsZuki Mobile Health Platform,https://doi.org/10.1145/3580786,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,,2023
10.1145/1721831.1721833,"Kostakos, Vassilis, O'Neill, Eamonn, Penn, Alan, Roussos, George, Papadongonas, Dikaios",Henry,,,,,No,No,No,,,ACM,,,"Brief encounters: Sensing, modeling and visualizing urban mobility and copresence networks",https://doi.org/10.1145/1721831.1721833,ACM Trans. Comput.-Hum. Interact.,,2010
10.1145/3025453.3025626,"Kery, Mary Beth, Horvath, Amber, Myers, Brad",Henry,,,,,No,No,No,,,ACM,,,Variolite: Supporting Exploratory Programming by Data Scientists,https://doi.org/10.1145/3025453.3025626,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,,2017
10.1145/2598153.2598168,"Breslav, Simon, Khan, Azam, Hornb\ae{}k, Kasper",Henry,,,,,No,No,No,,,ACM,,,Mimic: visual analytics of online micro-interactions,https://doi.org/10.1145/2598153.2598168,Proceedings of the 2014 International Working Conference on Advanced Visual Interfaces,,2014
10.1145/2930238.2930243,"Kangasr\{a}\{a}si\{o}, Antti, Chen, Yi, G\l{}owacka, Dorota, Kaski, Samuel",Henry,,,,,No,No,No,,,ACM,,,Interactive Modeling of Concept Drift and Errors in Relevance Feedback,https://doi.org/10.1145/2930238.2930243,Proceedings of the 2016 Conference on User Modeling Adaptation and Personalization,,2016
10.1145/3276954.3276962,"Oka, Akio, Masuhara, Hidehiko, Aotani, Tomoyuki",Henry,,,,,No,No,No,,,ACM,,,"Live, synchronized, and mental map preserving visualization for data structure programming",https://doi.org/10.1145/3276954.3276962,"Proceedings of the 2018 ACM SIGPLAN International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software",,2018
10.1145/3762998,"Li, Jing, Guo, Jun, Hossain, M. Shamim, Yu, Ning",Henry,,,,,No,No,No,,,ACM,,,Immersive Ink-and-wash Landscape Design in Multimedia for Art Therapy,https://doi.org/10.1145/3762998,ACM Trans. Multimedia Comput. Commun. Appl.,,2025
10.1145/2390876.2390882,"Rizzo, Giuseppe, Steiner, Thomas, Troncy, Rapha\{e}l, Verborgh, Ruben, Redondo Garc\'{\i}a, Jos\'{e} Luis, Van de Walle, Rik",Henry,,,,,No,No,No,,,ACM,,,What fresh media are you looking for? retrieving media items from multiple social networks,https://doi.org/10.1145/2390876.2390882,Proceedings of the 2012 International Workshop on Socially-Aware Multimedia,,2012
10.1145/3152888,"Polack Jr., Peter J., Chen, Shang-Tse, Kahng, Minsuk, Barbaro, Kaya De, Basole, Rahul, Sharmin, Moushumi, Chau, Duen Horng",Henry,,,,,No,No,No,,,ACM,,,Chronodes: Interactive Multifocus Exploration of Event Sequences,https://doi.org/10.1145/3152888,ACM Trans. Interact. Intell. Syst.,,2018
10.1145/3643834.3661506,"Waseem, Komal, Sturdee, Miriam, Wang, Zezhong, Lewis, Rachel A, Tonelli, Marcello, Carpendale, Sheelagh",Henry,,,,,No,No,No,,,ACM,,,Exploring Using Personalised Comics for Healthcare Communication for Patients Living With Hemodialysis,https://doi.org/10.1145/3643834.3661506,Proceedings of the 2024 ACM Designing Interactive Systems Conference,,2024
10.1145/2768545.2768546,"B\o{}dker, Susanne, Zander, P\{a}r-Ola",Henry,,,,,No,No,No,,,ACM,,,Participation in design between public sector and local communities,https://doi.org/10.1145/2768545.2768546,Proceedings of the 7th International Conference on Communities and Technologies,,2015
10.1145/3706598.3714061,"Wang, Ke, Lin, Lehao, Abdallah, Maha, Cai, Wei",Henry,,,,,No,No,No,,,ACM,,,Where is the Boundary? Understanding How People Recognize and Evaluate Generative AI-extended Videos,https://doi.org/10.1145/3706598.3714061,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,,2025
10.1145/3710963,"Shi, Yang, Peng, Yechun, Ding, Jieying, Lan, Xingyu, Cao, Nan",Henry,,,,,No,No,No,,,ACM,,,Double Tap for This Post: Understanding the Communication of Data Visualization on Social Media,https://doi.org/10.1145/3710963,Proc. ACM Hum.-Comput. Interact.,,2025
10.1145/2940299.2940314,"Korsgaard, Henrik, Klokmose, Clemens Nylandsted, B\o{}dker, Susanne",Henry,,,,,No,No,No,,,ACM,,,Computational alternatives in participatory design: putting the t back in socio-technical research,https://doi.org/10.1145/2940299.2940314,Proceedings of the 14th Participatory Design Conference: Full Papers - Volume 1,,2016
NA,"Mikovec, Zdenek, Maly, Ivo, Slavik, Pavel, Curin, Jan",Henry,,,,,No,No,No,,,ACM,,,Visualization of users' activities in a specific environment,NA,Proceedings of the 39th Conference on Winter Simulation: 40 Years! The Best is yet to Come,,2007
10.1145/3417710,"Polig, Martina, Papacharalambous, Despina G., Bakirtzis, Nikolas, Hermon, Sorin",Henry,,,,,No,No,No,,,ACM,,,"Assessing Visual Perception in Heritage Sites with Visual Acuity: Case study of the Cathedral of St. John the Theologian in Nicosia, Cyprus",https://doi.org/10.1145/3417710,J. Comput. Cult. Herit.,,2021
10.1145/2534329.2534356,"Peng, Yi, Chen, Li, Li, Quan, Zhu, Zhu, Dong, Jie, Yong, Jun-Hai",Henry,,,,,No,No,No,,,ACM,,,MPVR: a multi-perspective visual retrieval toolkit for multi-dimensional data,https://doi.org/10.1145/2534329.2534356,Proceedings of the 12th ACM SIGGRAPH International Conference on Virtual-Reality Continuum and Its Applications in Industry,,2013
10.14778/1920841.1921050,"Setty, Vinay, Bedathur, Srikanta, Berberich, Klaus, Weikum, Gerhard",Henry,,,,,No,No,No,,,ACM,,,InZeit: efficiently identifying insightful time points,https://doi.org/10.14778/1920841.1921050,Proc. VLDB Endow.,,2010
10.1145/2968220.2968242,"Wang, Yun, Liu, Dongyu, Qu, Huamin, Luo, Qiong, Ma, Xiaojuan",Henry,,,,,No,No,No,,,ACM,,,A Guided Tour of Literature Review: Facilitating Academic Paper Reading with Narrative Visualization,https://doi.org/10.1145/2968220.2968242,Proceedings of the 9th International Symposium on Visual Information Communication and Interaction,,2016
10.1145/3025453.3025480,"Karkar, Ravi, Schroeder, Jessica, Epstein, Daniel A., Pina, Laura R., Scofield, Jeffrey, Fogarty, James, Kientz, Julie A., Munson, Sean A., Vilardaga, Roger, Zia, Jasmine",Henry,,,,,No,No,No,,,ACM,,,TummyTrials: A Feasibility Study of Using Self-Experimentation to Detect Individualized Food Triggers,https://doi.org/10.1145/3025453.3025480,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,,2017
10.1145/3663548.3675618,"Dang, Khang, Burke, Grace, Korreshi, Hamdi, Lee, Sooyeon",Henry,,,,,No,No,No,,,ACM,,,Towards Accessible Musical Performances in Virtual Reality: Designing a Conceptual Framework for Omnidirectional Audio Descriptions,https://doi.org/10.1145/3663548.3675618,Proceedings of the 26th International ACM SIGACCESS Conference on Computers and Accessibility,,2024
10.1145/3284389.3284494,"Scully, Michael, Mayze, Samuel",Henry,,,,,No,No,No,,,ACM,,,Media Fa\c{c}ades: When Buildings Perform,https://doi.org/10.1145/3284389.3284494,Proceedings of the 4th Media Architecture Biennale Conference,,2018
10.1145/1743666.1743693,"Stellmach, Sophie, Nacke, Lennart, Dachselt, Raimund",Henry,,,,,No,No,No,,,ACM,,,Advanced gaze visualizations for three-dimensional virtual environments,https://doi.org/10.1145/1743666.1743693,Proceedings of the 2010 Symposium on Eye-Tracking Research &amp; Applications,,2010
10.1145/3594722,"Derudas, Paola, Nurra, Federico, Svensson, Andreas",Henry,,,,,No,No,No,,,ACM,,,New AIR for the Archaeological Process? The Use of 3D Web Semantic for Publishing Archaeological Reports,https://doi.org/10.1145/3594722,J. Comput. Cult. Herit.,,2023
10.1145/3654777.3676376,"Zhou, Tongyu, Yang, Joshua Kong, Chan, Vivian Hsinyueh, Chung, Ji Won, Huang, Jeff",Henry,,,,,No,No,No,,,ACM,,,PortalInk: 2.5D Visual Storytelling with SVG Parallax and Waypoint Transitions,https://doi.org/10.1145/3654777.3676376,Proceedings of the 37th Annual ACM Symposium on User Interface Software and Technology,,2024
10.1145/3706598.3714298,"Choi, Youjin, Moon, JaeYoung, Yoo, JinYoung, Hong, Jin-Hyuk",Henry,,,,,No,No,No,,,ACM,,,Exploring the Potential of Music Generative AI for Music-Making by Deaf and Hard of Hearing People,https://doi.org/10.1145/3706598.3714298,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,,2025
10.1145/2430502.2430526,"Passos, Leonardo, Czarnecki, Krzysztof, Apel, Sven, W\k{a}sowski, Andrzej, K\{a}stner, Christian, Guo, Jianmei",Henry,,,,,No,No,No,,,ACM,,,Feature-oriented software evolution,https://doi.org/10.1145/2430502.2430526,Proceedings of the 7th International Workshop on Variability Modelling of Software-Intensive Systems,,2013
10.1145/2788539.2788549,"Mindek, Peter, \v{C}mol\'{\i}k, Ladislav, Viola, Ivan, Gr\{o}ller, Eduard, Bruckner, Stefan",Henry,,,,,No,No,No,,,ACM,,,Automatized summarization of multiplayer games,https://doi.org/10.1145/2788539.2788549,Proceedings of the 31st Spring Conference on Computer Graphics,,2015
10.1145/3706598.3713342,"Halperin, Brett A., Ru\'{\i}z, Diana Flores, Rosner, Daniela K.",Henry,,,,,No,No,No,,,ACM,,,Underground AI? Critical Approaches to Generative Cinema through Amateur Filmmaking,https://doi.org/10.1145/3706598.3713342,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,,2025
10.1145/2872427.2883055,"Kuzey, Erdal, Setty, Vinay, Str\{o}tgen, Jannik, Weikum, Gerhard",Henry,,,,,No,No,No,,,ACM,,,As Time Goes By: Comprehensive Tagging of Textual Phrases with Temporal Scopes,https://doi.org/10.1145/2872427.2883055,Proceedings of the 25th International Conference on World Wide Web,,2016
10.1145/1518701.1518987,"Toomim, Michael, Drucker, Steven M., Dontcheva, Mira, Rahimi, Ali, Thomson, Blake, Landay, James A.",Henry,,,,,No,No,No,,,ACM,,,Attaching UI enhancements to websites with end users,https://doi.org/10.1145/1518701.1518987,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,2009
10.1145/3589186,"Kumar, Puneet, Bhatt, Gaurav, Ingle, Omkar, Goyal, Daksh, Raman, Balasubramanian",Henry,,,,,No,No,No,,,ACM,,,Affective Feedback Synthesis Towards Multimodal Text and Image Data,https://doi.org/10.1145/3589186,ACM Trans. Multimedia Comput. Commun. Appl.,,2023
10.1145/3715710,"Alhamadi, Mohammed, Alsayahani, Hatim, Clinch, Sarah, Vigo, Markel",Henry,,,,,No,No,No,,,ACM,,,Behavioural Indicators of Usability in Visual Analytics Dashboards,https://doi.org/10.1145/3715710,ACM Trans. Interact. Intell. Syst.,,2025
10.1145/1613858.1613860,"Cherubini, Mauro, Anguera, Xavier, Oliver, Nuria, de Oliveira, Rodrigo",Henry,,,,,No,No,No,,,ACM,,,Text versus speech: a comparison of tagging input modalities for camera phones,https://doi.org/10.1145/1613858.1613860,Proceedings of the 11th International Conference on Human-Computer Interaction with Mobile Devices and Services,,2009
10.1109/CCGrid.2014.92,"Dreher, Matthieu, Raffin, Bruno",Henry,,,,,No,No,No,,,ACM,,,A flexible framework for asynchronous in situ and in transit analytics for scientific simulations,https://doi.org/10.1109/CCGrid.2014.92,"Proceedings of the 14th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing",,2014
10.1145/3586183.3606826,"Yan, Zihan, Yang, Chunxu, Liang, Qihao, Chen, Xiang 'Anthony'",Henry,,,,,No,No,No,,,ACM,,,XCreation: A Graph-based Crossmodal Generative Creativity Support Tool,https://doi.org/10.1145/3586183.3606826,Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology,,2023
10.1145/2071423.2071469,"Charles, Fred, Porteous, Julie, Cavazza, Marc, Teutenberg, Jonathan",Henry,,,,,No,No,No,,,ACM,,,Timeline-based navigation for interactive narratives,https://doi.org/10.1145/2071423.2071469,Proceedings of the 8th International Conference on Advances in Computer Entertainment Technology,,2011
10.1145/2702123.2702455,"Bachour, Khaled, Wetzel, Richard, Flintham, Martin, Huynh, Trung Dong, Rodden, Tom, Moreau, Luc",Henry,,,,,No,No,No,,,ACM,,,Provenance for the People: An HCI Perspective on the W3C PROV Standard through an Online Game,https://doi.org/10.1145/2702123.2702455,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,,2015
10.1145/2330601.2330639,"Santos, Jose Luis, Govaerts, Sten, Verbert, Katrien, Duval, Erik",Henry,,,,,No,No,No,,,ACM,,,Goal-oriented visualizations of activity tracking: a case study with engineering students,https://doi.org/10.1145/2330601.2330639,Proceedings of the 2nd International Conference on Learning Analytics and Knowledge,,2012
10.1145/2766936,"Denning, Jonathan D., Tibaldo, Valentina, Pellacini, Fabio",Henry,,,,,No,No,No,,,ACM,,,3DFlow: continuous summarization of mesh editing workflows,https://doi.org/10.1145/2766936,ACM Trans. Graph.,,2015
10.1145/2464464.2464513,"Huurdeman, Hugo C., Ben-David, Anat, Sammar, Thaer",Henry,,,,,No,No,No,,,ACM,,,Sprint methods for web archive research,https://doi.org/10.1145/2464464.2464513,Proceedings of the 5th Annual ACM Web Science Conference,,2013
10.1145/3106775,"Sun, Guodao, Tang, Tan, Peng, Tai-Quan, Liang, Ronghua, Wu, Yingcai",Henry,,,,,No,No,No,,,ACM,,,SocialWave: Visual Analysis of Spatio-temporal Diffusion of Information on Social Media,https://doi.org/10.1145/3106775,ACM Trans. Intell. Syst. Technol.,,2017
10.1145/3706598.3713401,"Cao, Yining, Huang, Yiyi, Truong, Anh, Shin, Hijung Valentina, Xia, Haijun",Henry,,,,,No,No,No,,,ACM,,,Compositional Structures as Substrates for Human-AI Co-creation Environment: A Design Approach and A Case Study,https://doi.org/10.1145/3706598.3713401,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,,2025
10.1145/3613904.3642575,"Jo, Hye-Young, Suzuki, Ryo, Kim, Yoonji",Henry,,,,,No,No,No,,,ACM,,,CollageVis: Rapid Previsualization Tool for Indie Filmmaking using Video Collages,https://doi.org/10.1145/3613904.3642575,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,,2024
NA,"Roque, Francisco S., Slaughter, Laura, Tkat\v{s}enko, Alexandr",Henry,,,,,No,No,No,,,ACM,,,A comparison of several key information visualization systems for secondary use of electronic health record content,NA,Proceedings of the NAACL HLT 2010 Second Louhi Workshop on Text and Data Mining of Health Documents,,2010
10.1145/3708359.3712078,"Zhao, Yijun, Li, Zhengke, Wang, Yicheng, Cai, Xueyan, Zhou, Xiaojing, Yan, Yifan, Jin, Kecheng, Ding, Shiying, Shao, Yilin, Cao, Jiacheng, Wang, Pinhao, Yao, Cheng, Tao, Ye, Wang, Guanyun",Henry,,,,,No,No,No,,,ACM,,,DreamDirector: Designing a Generative AI System to Aid Therapists in Treating Clients' Nightmares,https://doi.org/10.1145/3708359.3712078,Proceedings of the 30th International Conference on Intelligent User Interfaces,,2025
10.1145/2661136.2661144,"Gu, Zhongxian, Schleck, Drew, Barr, Earl T., Su, Zhendong",Henry,,,,,No,No,No,,,ACM,,,Capturing and Exploiting IDE Interactions,https://doi.org/10.1145/2661136.2661144,"Proceedings of the 2014 ACM International Symposium on New Ideas, New Paradigms, and Reflections on Programming &amp; Software",,2014
10.1145/3723170,"Xu, Ningning, Chen, Yifei, Ma, Teng, Mao, Qinglin, Huang, Xinlie, Zhou, Haibo, Sun, Xu",Henry,,,,,No,No,No,,,ACM,,,LanternOperAR: Engaging Yue Opera Culture with Chinese Philosophy in Hybrid Gift through Interactive Experience,https://doi.org/10.1145/3723170,J. Comput. Cult. Herit.,,2025
10.1145/3494675,"Zabulis, Xenophon, Meghini, Carlo, Dubois, Arnaud, Doulgeraki, Paraskevi, Partarakis, Nikolaos, Adami, Ilia, Karuzaki, Effie, Carre, Anne-Laure, Patsiouras, Nikolaos, Kaplanidi, Danae, Metilli, Daniele, Bartalesi, Valentina, Ringas, Chris, Tasiopoulou, Eleana, Stefanidi, Zinovia",Henry,,,,,No,No,No,,,ACM,,,Digitisation of Traditional Craft Processes,https://doi.org/10.1145/3494675,J. Comput. Cult. Herit.,,2022
10.1145/3469410.3469426,"Papageorgopoulou, Penny, Delinikolas, Dimitris, Arsenopoulou, Natalia, Katsarou, Louiza, Rizopoulos, Charalampos, Psaltis, Antonios, Theona, Iouliani, Drymonitis, Alexandros, Korosidis, Antonios, Charitos, Dimitrios",Henry,,,,,No,No,No,,,ACM,,,Embedding an interactive art installation into a building for enhancing citizen's awareness on urban environmental conditions,https://doi.org/10.1145/3469410.3469426,Proceedings of the 5th Media Architecture Biennale Conference,,2021
10.1145/3308774.3308798,"Ahlers, Dirk, Wilde, Erik, Schifanella, Rossano, Alowibdi, Jalal S.",Henry,,,,,No,No,No,,,ACM,,,Report on the Eighth International Workshop on Location and the Web (LocWeb 2018),https://doi.org/10.1145/3308774.3308798,SIGIR Forum,,2019
10.1145/3290605.3300280,"Kong, Ha-Kyung, Zhu, Wenjie, Liu, Zhicheng, Karahalios, Karrie",Henry,,,,,No,No,No,,,ACM,,,Understanding Visual Cues in Visualizations Accompanied by Audio Narrations,https://doi.org/10.1145/3290605.3300280,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,,2019
10.1145/2388676.2388709,"Burzo, Mihai, McDuff, Daniel, Mihalcea, Rada, Morency, Louis-Philippe, Narvaez, Alexis, Perez-Rosas, Veronica",Henry,,,,,No,No,No,,,ACM,,,Towards sensing the influence of visual narratives on human affect,https://doi.org/10.1145/2388676.2388709,Proceedings of the 14th ACM International Conference on Multimodal Interaction,,2012
10.1145/1991996.1992005,"H\{o}ferlin, Markus, H\{o}ferlin, Benjamin, Weiskopf, Daniel, Heidemann, Gunther",Henry,,,,,No,No,No,,,ACM,,,Interactive schematic summaries for exploration of surveillance video,https://doi.org/10.1145/1991996.1992005,Proceedings of the 1st ACM International Conference on Multimedia Retrieval,,2011
10.1145/3366424.3382119,"Zhou, Wenjie, Yang Zhou, Zhe",Henry,,,,,No,No,No,,,ACM,,,E-sports Report path and mode: A Case Study on China Youth Online,https://doi.org/10.1145/3366424.3382119,Companion Proceedings of the Web Conference 2020,,2020
10.1145/1557914.1557940,"Boh\o{}j, Morten, Bouvin, Niels Olof",Henry,,,,,No,No,No,,,ACM,,,Collaborative time-based case work,https://doi.org/10.1145/1557914.1557940,Proceedings of the 20th ACM Conference on Hypertext and Hypermedia,,2009
